Customer ID,Gender,Age,Hours at Gym (per week),Fitness Goal,Gym Membership Length (years),Calorie Intake,Preferred Sports Drink Type,Average Weekly Consumption (Bottles)
221958,Female,27,7.3,Build muscle,4,,Electrolyte,10
771155,Female,24,6.2,Endurance training,4,2173,Electrolyte,11
231932,Male,22,7.4,Fat loss,2,1752,Electrolyte,12
465838,Female,23,6,Build muscle,0,2884,Protein shakes,10
359178,Female,18,9.3,Build muscle,5,2559,Protein shakes,14
744167,Male,23,5.7,Flexibility,1,1606,Fresh juice,10
210268,Male,30,5.5,Build muscle,2,2719,Protein shakes,10
832180,Female,26,6.9,Fat loss,1,1940,,10
154886,Male,32,7,Fat loss,4,,Protein shakes,14
237337,Male,24,,Build muscle,0,2870,Electrolyte,15
621430,Female,31,5.4,Build muscle,1,,Protein shakes,10
187498,Male,29,5.8,Build muscle,1,2551,Protein shakes,8
999159,Male,25,4.4,General health,1,2371,Protein shakes,8
275203,Male,24,7.3,Fat loss,1,1533,Fresh juice,14
291335,Female,26,,Endurance training,1,2095,Electrolyte,10
378167,Male,30,4.3,Flexibility,1,1588,Fresh juice,8
141090,Female,29,,General health,1,2030,Fresh juice,10
429365,Male,28,6.699999999999999,Fat loss,3,1955,,9
164820,Female,22,7,Fat loss,1,1774,Fresh juice,11
887201,Male,22,6.5,Endurance training,5,2245,Fresh juice,19
421879,Female,25,3.9,Endurance training,1,2110,Protein shakes,7
818315,Male,24,7.4,Fat loss,1,1733,Fresh juice,12
427069,Other,29,5.1,Endurance training,2,,Protein shakes,6
876997,Female,21,8.600000000000001,Build muscle,4,2976,Protein shakes,12
299041,Male,26,5.6,Fat loss,1,1916,Electrolyte,9
891743,Female,25,5.699999999999999,Build muscle,1,2665,Electrolyte,9
203355,Male,44,7.3,Build muscle,5,2627,Protein shakes,9
335796,Male,31,5.7,Build muscle,0,2736,Electrolyte,11
314176,Male,23,5.9,Endurance training,1,2493,Electrolyte,10
284779,Male,19,8.7,Fat loss,4,1790,Fresh juice,14
447449,Male,29,6.2,Build muscle,3,2606,Electrolyte,13
521909,Male,21,6.2,Fat loss,0,1627,Electrolyte,11
358795,Female,20,7.800000000000001,Fat loss,4,1694,Protein shakes,11
586232,Male,24,8.2,Build muscle,5,2838,Protein shakes,15
600186,Male,25,3.6,Endurance training,1,2393,Energy drinks,12
256730,Male,27,4.5,General health,1,2274,Energy drinks,7
970910,Male,34,5.9,General health,5,2454,Energy drinks,10
484681,Male,32,4.6,Endurance training,1,2394,Protein shakes,6
249503,Female,28,6.4,Fat loss,1,1610,Protein shakes,11
754811,Male,27,7.2,Build muscle,4,2589,Protein shakes,15
627035,Male,28,7.7,Build muscle,5,2750,Energy drinks,11
748143,Male,30,5.3,Build muscle,1,2779,Protein shakes,11
552366,Male,31,5,Flexibility,4,1832,Fresh juice,11
165725,Female,22,8.6,Build muscle,5,2723,Electrolyte,10
229981,Male,24,7.1,Build muscle,4,2600,Protein shakes,11
184654,Female,21,,General health,3,1931,Electrolyte,10
691723,Other,40,5.8,Flexibility,4,1512,Fresh juice,9
419030,Male,37,6.4,General health,4,2256,Fresh juice,10
428947,Female,27,5.5,Build muscle,3,2940,Protein shakes,8
655839,Male,29,5.1000000000000005,Build muscle,0,2996,Protein shakes,12
373538,Female,33,6.2,Build muscle,5,2597,Protein shakes,12
431236,Male,20,6.8,Build muscle,1,2619,Protein shakes,11
628178,Female,27,6.4,Build muscle,4,2792,Protein shakes,12
665894,Male,18,8.5,Fat loss,4,1803,Protein shakes,17
589492,Male,20,4.6,Flexibility,1,1500,Electrolyte,8
356840,Male,23,7.199999999999999,Build muscle,5,2559,Fresh juice,15
573254,Female,29,,Endurance training,1,2249,Electrolyte,13
449457,Female,25,4.3,Endurance training,1,2139,Fresh juice,12
765987,Female,22,8.4,Build muscle,4,2648,Electrolyte,10
370936,Male,27,5.3,Endurance training,3,2394,Electrolyte,7
339931,Female,29,6.2,Build muscle,4,2543,Electrolyte,13
339629,Male,26,7.7,Build muscle,4,2870,Electrolyte,12
305041,Male,18,5.1,General health,2,2497,Fresh juice,13
798361,Male,23,8.7,Build muscle,5,2607,Protein shakes,9
831912,Female,30,,Flexibility,1,1543,Fresh juice,10
517113,Male,29,4.5,Build muscle,1,2577,Protein shakes,6
168148,Female,22,7.699999999999999,Fat loss,1,1725,Protein shakes,15
877089,Female,21,7.1,Fat loss,2,1661,Protein shakes,12
748531,Male,33,6.3,Build muscle,4,2780,,6
351995,Male,32,,Build muscle,2,2752,,8
778843,Male,29,5.9,Endurance training,4,2131,Protein shakes,9
672843,Male,27,5.8,General health,3,2247,Electrolyte,9
356508,Male,21,4.8,General health,1,2273,Fresh juice,10
903591,Male,41,7.2,Fat loss,5,1643,Energy drinks,14
996942,Female,20,6.2,General health,1,1908,Fresh juice,10
206530,Male,32,6.3,Endurance training,4,2193,Electrolyte,16
704365,Female,30,6.8,General health,5,1834,Electrolyte,14
922352,Female,29,5.699999999999999,Fat loss,1,1966,Electrolyte,10
560337,Female,33,3.8,Endurance training,1,2389,Electrolyte,7
824839,Female,22,6,General health,1,2074,Electrolyte,8
905889,Female,23,7,Build muscle,3,2686,Protein shakes,18
559773,Male,27,6.4,General health,4,2042,Fresh juice,10
308261,Male,21,8.2,Fat loss,3,1763,Protein shakes,19
864469,Female,34,7.2,Build muscle,5,2961,,10
441097,Female,29,7.6,Build muscle,5,2509,Fresh juice,11
415139,Male,29,7.800000000000001,Build muscle,4,2950,Electrolyte,9
271829,Male,25,5.8,Fat loss,1,1665,Fresh juice,8
371836,Male,20,,General health,1,2340,Fresh juice,9
538974,Female,32,6.1,Build muscle,3,2770,Protein shakes,8
302283,Male,23,5.2,General health,0,1886,Fresh juice,12
296769,Male,33,6,General health,3,2334,,11
661353,Male,25,6.6,Build muscle,4,2709,Electrolyte,9
323165,Male,26,4.9,General health,1,1845,,6
723587,Female,26,4.9,Flexibility,1,1966,Energy drinks,12
635822,Male,29,5.1,General health,4,2339,Electrolyte,11
587879,Female,19,6.2,General health,1,1825,Fresh juice,8
664685,Male,27,4.4,Flexibility,1,1765,Protein shakes,7
882038,Female,32,4,Endurance training,1,2174,Fresh juice,11
453531,Male,26,4.7,Build muscle,1,2503,Protein shakes,9
363160,Male,33,,General health,1,2110,Protein shakes,10
679879,Female,26,4.3,Endurance training,1,2321,,12
320884,Other,27,6.1,Fat loss,1,1566,Electrolyte,9
123247,Female,32,5.5,Build muscle,1,2634,Protein shakes,9
124300,Female,23,7.5,General health,4,1854,Fresh juice,12
567281,Female,40,3.7,Build muscle,1,2963,Electrolyte,10
707086,Male,35,5.5,Flexibility,4,2042,Fresh juice,7
633556,Other,20,7.2,Build muscle,3,2573,Protein shakes,10
448951,Male,20,,Build muscle,1,2518,Protein shakes,9
374329,Female,36,6.9,Fat loss,1,1655,Protein shakes,7
819064,Female,29,6.6,Build muscle,4,2836,,10
842139,Female,18,5.7,Endurance training,1,2155,,9
532315,Male,28,4.6,Flexibility,1,1646,Protein shakes,5
616588,Male,25,,General health,1,2284,Fresh juice,7
336584,Female,25,6.6,Build muscle,4,2586,,12
662332,Male,30,5.8999999999999995,Build muscle,1,2519,,5
937646,Other,30,5.3,General health,4,2068,Fresh juice,13
476896,Female,34,7,Flexibility,5,1832,Fresh juice,11
148984,Male,28,8.8,Fat loss,4,1542,Fresh juice,11
402918,Female,31,6.800000000000001,Fat loss,4,1894,Electrolyte,5
364712,Male,21,7.1,Build muscle,3,,,12
220151,Female,24,7.9,General health,4,2200,Electrolyte,12
555808,Female,23,5.9,Endurance training,3,2437,Fresh juice,7
233767,Male,31,4.7,Build muscle,1,2805,Protein shakes,7
748663,Male,30,6.2,Build muscle,3,2527,Protein shakes,10
803550,Female,41,3.4,General health,1,2266,Electrolyte,10
236330,Male,21,5.8999999999999995,Build muscle,2,2759,Protein shakes,10
580754,Female,26,5.1,Build muscle,1,2521,Protein shakes,9
401648,Male,31,8.3,Fat loss,5,1969,Protein shakes,13
788519,Male,19,7.4,Build muscle,2,2874,Protein shakes,9
113986,Male,19,,Build muscle,1,2600,Protein shakes,11
686146,Male,34,5.5,General health,4,2350,Electrolyte,8
229312,Male,21,5.3,General health,2,2152,Protein shakes,7
112666,Female,32,,General health,1,2099,Electrolyte,10
400804,Male,34,5.3,General health,1,2481,Protein shakes,8
234633,Male,22,10.3,Fat loss,5,1795,Electrolyte,15
388998,Male,29,3.7,General health,1,2152,Electrolyte,9
950937,Male,29,6.1000000000000005,Build muscle,1,2895,Electrolyte,9
728776,Male,25,4,Endurance training,2,2129,Fresh juice,7
807611,Female,27,3.9,Flexibility,0,,Fresh juice,6
384806,Female,31,3.9000000000000004,Build muscle,0,2573,Protein shakes,8
894824,Male,26,4.9,Build muscle,1,2841,Protein shakes,8
130535,Female,20,8.6,Fat loss,3,1964,Protein shakes,17
475713,Female,29,5.5,Build muscle,1,2589,Fresh juice,12
938688,Male,22,8.6,Build muscle,4,2566,Electrolyte,9
451279,Female,30,5.2,General health,4,2254,Electrolyte,7
921654,Other,21,,Flexibility,1,1831,Fresh juice,11
701661,Male,21,6.1,Fat loss,1,1726,,9
747972,Male,25,,Build muscle,3,2964,Electrolyte,11
589570,Female,34,4.7,Build muscle,1,2847,Electrolyte,8
556551,Female,31,5.2,General health,1,2032,Electrolyte,9
373109,Male,22,9.1,Fat loss,4,1765,Fresh juice,12
124538,Female,18,8,Build muscle,3,2585,Protein shakes,15
994498,Female,28,5.699999999999999,Fat loss,1,1601,Fresh juice,9
301664,Female,29,6,Build muscle,4,2940,Fresh juice,6
591234,Female,30,7.2,Fat loss,4,1980,Protein shakes,10
999684,Female,33,3.9,General health,1,2013,Electrolyte,9
239182,Male,25,7.8,Fat loss,5,1607,Electrolyte,9
572525,Male,31,7.1,Endurance training,5,2164,Protein shakes,10
258338,Female,25,5.300000000000001,Build muscle,3,2960,Protein shakes,14
284064,Female,32,5.8,General health,4,2402,Fresh juice,14
314020,Male,31,4.5,Endurance training,1,2191,Protein shakes,10
723094,Female,21,7.4,Build muscle,4,2834,Fresh juice,13
997421,Female,27,,Fat loss,1,1585,Protein shakes,6
715270,Male,31,4.2,Build muscle,1,2721,Protein shakes,9
745914,Female,39,5.3,General health,1,2223,Fresh juice,6
219176,Female,21,7.199999999999999,Fat loss,3,1600,Electrolyte,9
318126,Female,28,5.5,Flexibility,2,1863,Protein shakes,17
318969,Male,32,7,Build muscle,4,2559,Electrolyte,11
222409,Male,33,3.1,General health,0,2281,Electrolyte,4
647707,Female,25,4.3,Endurance training,2,2249,Protein shakes,9
353618,Male,27,6.7,General health,5,2359,Protein shakes,11
869598,Male,37,4.2,Build muscle,0,2616,Protein shakes,7
150015,Male,29,6.8999999999999995,Fat loss,3,1726,Fresh juice,14
872838,Male,32,6.9,General health,4,2344,Electrolyte,16
222096,Male,18,9.100000000000001,Build muscle,5,2543,Protein shakes,16
731347,Male,20,6.8,Build muscle,4,2975,Electrolyte,9
285340,Male,36,5.7,Fat loss,1,1664,,8
210687,Male,18,8.7,Fat loss,3,,,13
974371,Female,23,7.2,Build muscle,3,2844,Fresh juice,13
511357,Female,25,5.3999999999999995,Build muscle,1,2791,Protein shakes,9
835716,Male,33,4.5,Build muscle,0,2836,Electrolyte,8
205878,Female,21,5.8,General health,0,2085,,11
827270,Male,28,3.6,Endurance training,1,2203,Electrolyte,8
298286,Female,24,8.3,General health,5,2483,Electrolyte,12
873290,Female,18,5.7,Flexibility,0,2023,Fresh juice,6
874684,Other,31,7.4,Fat loss,4,,Electrolyte,12
264899,Female,25,,Build muscle,6,2620,,10
424767,Female,32,5.8,Build muscle,2,2932,Protein shakes,9
961882,Female,21,5.7,Build muscle,1,2743,Protein shakes,7
979858,Male,22,6.5,Flexibility,1,2163,Electrolyte,10
479989,Male,24,6.3,Fat loss,1,1651,Fresh juice,9
515515,Female,42,5.9,Build muscle,4,2687,Protein shakes,14
143585,Male,26,6.8,Build muscle,5,2894,Protein shakes,9
471369,Female,30,6.7,Fat loss,2,1512,Electrolyte,5
164044,Male,25,3.6,Endurance training,1,2090,Protein shakes,14
542296,Male,32,6,Build muscle,4,,Protein shakes,13
209556,Male,29,6.5,Flexibility,4,2085,Energy drinks,12
626981,Male,33,5.5,Fat loss,1,1755,Electrolyte,10
981691,Female,20,,Build muscle,4,2955,Protein shakes,9
867595,Male,22,,General health,1,2247,Fresh juice,10
300235,Male,34,6.7,Build muscle,4,2775,Protein shakes,11
125939,Male,31,4,Flexibility,1,1570,Electrolyte,6
252906,Male,32,5.6,Flexibility,5,2089,Fresh juice,9
642335,Female,25,5.5,General health,4,1929,,12
388249,Male,32,4.8,General health,1,1842,Fresh juice,10
175766,Female,24,8.6,Build muscle,5,2507,Electrolyte,14
508923,Female,28,4.3,Flexibility,1,1512,Fresh juice,7
515192,Female,31,6.4,Fat loss,1,1712,Electrolyte,8
668550,Female,20,6.5,General health,3,2422,Protein shakes,13
487261,Female,21,6.5,Flexibility,4,2034,Fresh juice,6
910208,Other,38,5.9,Flexibility,4,1801,Fresh juice,10
785440,Male,31,,General health,0,2326,Fresh juice,9
752664,Male,28,6.4,Build muscle,2,2629,Fresh juice,10
554589,Male,24,4.7,Flexibility,0,2072,Electrolyte,9
237848,Male,25,5.1,Endurance training,4,2114,Fresh juice,9
717075,Female,25,4.5,Flexibility,1,1959,Electrolyte,9
227948,Female,25,7.1,Endurance training,6,2319,Electrolyte,12
679304,Male,26,6.2,Build muscle,4,2807,Protein shakes,10
502690,Male,22,7.5,Build muscle,1,2919,Protein shakes,11
599046,Male,25,7.8,Fat loss,5,1950,Protein shakes,14
551269,Female,23,5.9,General health,1,2124,Protein shakes,8
121959,Female,29,6.2,Build muscle,3,2566,Fresh juice,10
760890,Male,35,6.7,Fat loss,1,1748,Electrolyte,8
850216,Female,26,6.4,Build muscle,4,2674,Protein shakes,8
890180,Female,21,5.7,General health,1,2313,Fresh juice,12
328576,Male,25,5.8,Fat loss,1,1671,Electrolyte,9
637833,Female,21,6.6,Build muscle,1,,Protein shakes,9
265838,Female,28,5.5,Build muscle,3,2947,Protein shakes,6
435674,Male,25,3.7,Build muscle,0,2964,Protein shakes,9
979989,Male,32,6,Fat loss,1,1833,Protein shakes,8
161087,Male,33,6.7,Build muscle,4,2783,Electrolyte,12
693128,Male,31,6.5,Build muscle,4,2974,Energy drinks,12
218451,Female,20,6.5,Flexibility,1,1553,Electrolyte,13
547600,Female,20,5.6,General health,1,2257,Protein shakes,10
937437,Male,19,8.2,Fat loss,3,1566,Electrolyte,14
539792,Male,33,3.7,Flexibility,1,1919,Fresh juice,7
139353,Male,24,7.1,Build muscle,1,2601,Protein shakes,13
293075,Male,36,5.3,Endurance training,3,2119,Fresh juice,6
314283,Female,35,,Endurance training,1,2190,Protein shakes,9
414877,Male,24,8.3,Fat loss,5,,Protein shakes,10
165318,Male,27,4.699999999999999,Build muscle,0,2969,Fresh juice,11
865313,Male,19,5.8,Fat loss,1,1803,Protein shakes,10
582690,Female,30,8.5,Fat loss,4,1922,Protein shakes,14
516880,Male,35,5,General health,3,2358,Fresh juice,13
691460,Female,22,5.3999999999999995,Build muscle,1,2721,,10
840976,Male,26,5.3,Build muscle,1,2520,Protein shakes,9
881239,Female,33,5.3,Build muscle,2,2657,Electrolyte,11
193264,Female,19,8.3,Build muscle,4,2847,Protein shakes,8
870746,Male,21,6.5,Fat loss,1,1658,Energy drinks,8
