Customer ID,Gender,Age,Hours at Gym (per week),Fitness Goal,Gym Membership Length (years),Calorie Intake,Average Spend on Apparel ($/year),Type of Apparel Purchased,Primary Apparel Purchase Channel
221958,Female,27,7.3,Build muscle,4,,643.34,Accessories,Brand Website
771155,Female,24,6.2,Endurance training,4,2173,659.13,Leisure,Physical Retailer
231932,Male,22,7.4,Fat loss,2,1752,761.12,Performance,Physical Retailer
465838,Female,23,6,Build muscle,0,2884,234.87,Performance,E-commerce Retailer
359178,Female,18,9.3,Build muscle,5,2559,539.69,Leisure,E-commerce Retailer
744167,Male,23,5.7,Flexibility,1,1606,818.03,Outerwear,Physical Retailer
210268,Male,30,5.5,Build muscle,2,2719,867.62,Performance,Brand Website
832180,Female,26,6.9,Fat loss,1,1940,587.83,Accessories,Physical Retailer
154886,Male,32,7,Fat loss,4,,868.63,Accessories,E-commerce Retailer
237337,Male,24,,Build muscle,0,2870,865.06,,Physical Retailer
621430,Female,31,5.4,Build muscle,1,,684.46,Performance,Brand Website
187498,Male,29,5.8,Build muscle,1,2551,895.53,Leisure,Brand Website
999159,Male,25,4.4,General health,1,2371,699.35,Footwear,Physical Retailer
275203,Male,24,7.3,Fat loss,1,1533,635.62,Performance,Brand Website
291335,Female,26,,Endurance training,1,2095,251.09,Performance,E-commerce Retailer
378167,Male,30,4.3,Flexibility,1,1588,865.03,,E-commerce Retailer
141090,Female,29,,General health,1,2030,563.29,Footwear,Physical Retailer
429365,Male,28,6.699999999999999,Fat loss,3,1955,547.7,Accessories,Physical Retailer
164820,Female,22,7,Fat loss,1,1774,303.55,Performance,Physical Retailer
887201,Male,22,6.5,Endurance training,5,2245,584.06,Footwear,E-commerce Retailer
421879,Female,25,3.9,Endurance training,1,2110,579.58,Performance,Physical Retailer
818315,Male,24,7.4,Fat loss,1,1733,835.77,Footwear,Physical Retailer
427069,Other,29,5.1,Endurance training,2,,386.92,Leisure,Physical Retailer
876997,Female,21,8.600000000000001,Build muscle,4,2976,442.38,Performance,Physical Retailer
299041,Male,26,5.6,Fat loss,1,1916,595.3,Footwear,Physical Retailer
891743,Female,25,5.699999999999999,Build muscle,1,2665,526.59,Accessories,Physical Retailer
203355,Male,44,7.3,Build muscle,5,2627,758.55,Performance,Physical Retailer
335796,Male,31,5.7,Build muscle,0,2736,865.06,Outerwear,Physical Retailer
314176,Male,23,5.9,Endurance training,1,2493,832.35,Performance,Physical Retailer
284779,Male,19,8.7,Fat loss,4,1790,747.12,Performance,Brand Website
447449,Male,29,6.2,Build muscle,3,2606,733.86,Performance,Physical Retailer
521909,Male,21,6.2,Fat loss,0,1627,632.53,Outerwear,Physical Retailer
358795,Female,20,7.800000000000001,Fat loss,4,1694,280.48,Leisure,Physical Retailer
586232,Male,24,8.2,Build muscle,5,2838,868.88,Performance,E-commerce Retailer
600186,Male,25,3.6,Endurance training,1,2393,937.67,Footwear,Brand Website
256730,Male,27,4.5,General health,1,2274,753.44,Yoga,Physical Retailer
970910,Male,34,5.9,General health,5,2454,701.47,Outerwear,Brand Website
484681,Male,32,4.6,Endurance training,1,2394,638.25,,Physical Retailer
249503,Female,28,6.4,Fat loss,1,1610,386.86,Yoga,Physical Retailer
754811,Male,27,7.2,Build muscle,4,2589,644.03,Footwear,E-commerce Retailer
627035,Male,28,7.7,Build muscle,5,2750,1077.3,Performance,Physical Retailer
748143,Male,30,5.3,Build muscle,1,2779,603.85,Performance,Physical Retailer
552366,Male,31,5,Flexibility,4,1832,841.05,Performance,E-commerce Retailer
165725,Female,22,8.6,Build muscle,5,2723,660.46,Performance,E-commerce Retailer
229981,Male,24,7.1,Build muscle,4,2600,889.86,Outerwear,E-commerce Retailer
184654,Female,21,,General health,3,1931,519.18,Leisure,E-commerce Retailer
691723,Other,40,5.8,Flexibility,4,1512,738.65,Yoga,E-commerce Retailer
419030,Male,37,6.4,General health,4,2256,592.73,,Physical Retailer
428947,Female,27,5.5,Build muscle,3,2940,573.78,Performance,Brand Website
655839,Male,29,5.1000000000000005,Build muscle,0,2996,1025.92,Outerwear,Brand Website
373538,Female,33,6.2,Build muscle,5,2597,739.45,,E-commerce Retailer
431236,Male,20,6.8,Build muscle,1,2619,629.14,Performance,E-commerce Retailer
628178,Female,27,6.4,Build muscle,4,2792,368.69,Outerwear,Brand Website
665894,Male,18,8.5,Fat loss,4,1803,652.89,Performance,Physical Retailer
589492,Male,20,4.6,Flexibility,1,1500,782.95,Accessories,E-commerce Retailer
356840,Male,23,7.199999999999999,Build muscle,5,2559,1039.87,Performance,E-commerce Retailer
573254,Female,29,,Endurance training,1,2249,347.43,Performance,Physical Retailer
449457,Female,25,4.3,Endurance training,1,2139,354.09,Performance,E-commerce Retailer
765987,Female,22,8.4,Build muscle,4,2648,621.45,Yoga,Physical Retailer
370936,Male,27,5.3,Endurance training,3,2394,712.53,,Physical Retailer
339931,Female,29,6.2,Build muscle,4,2543,531.78,Performance,Physical Retailer
339629,Male,26,7.7,Build muscle,4,2870,830.11,Outerwear,Physical Retailer
305041,Male,18,5.1,General health,2,2497,484.61,Performance,Brand Website
798361,Male,23,8.7,Build muscle,5,2607,698.97,Accessories,E-commerce Retailer
831912,Female,30,,Flexibility,1,1543,401.88,Yoga,E-commerce Retailer
517113,Male,29,4.5,Build muscle,1,2577,718.06,Yoga,E-commerce Retailer
168148,Female,22,7.699999999999999,Fat loss,1,1725,751.8,Accessories,Physical Retailer
877089,Female,21,7.1,Fat loss,2,1661,689.62,Performance,Physical Retailer
748531,Male,33,6.3,Build muscle,4,2780,788.47,Accessories,Physical Retailer
351995,Male,32,,Build muscle,2,2752,997.02,Performance,Brand Website
778843,Male,29,5.9,Endurance training,4,2131,695.53,Footwear,Physical Retailer
672843,Male,27,5.8,General health,3,2247,1079.63,Performance,Brand Website
356508,Male,21,4.8,General health,1,2273,699.3,Yoga,Brand Website
903591,Male,41,7.2,Fat loss,5,1643,813.38,Footwear,E-commerce Retailer
996942,Female,20,6.2,General health,1,1908,602.86,Performance,Brand Website
206530,Male,32,6.3,Endurance training,4,2193,818.51,Leisure,E-commerce Retailer
704365,Female,30,6.8,General health,5,1834,922.6,Accessories,Physical Retailer
922352,Female,29,5.699999999999999,Fat loss,1,1966,745.85,Accessories,E-commerce Retailer
560337,Female,33,3.8,Endurance training,1,2389,583.37,Performance,Brand Website
824839,Female,22,6,General health,1,2074,875.47,Leisure,Physical Retailer
905889,Female,23,7,Build muscle,3,2686,161.6,Accessories,Physical Retailer
559773,Male,27,6.4,General health,4,2042,727.4,Footwear,E-commerce Retailer
308261,Male,21,8.2,Fat loss,3,1763,904.88,Performance,Physical Retailer
864469,Female,34,7.2,Build muscle,5,2961,602.82,Yoga,Physical Retailer
441097,Female,29,7.6,Build muscle,5,2509,721.1,Outerwear,E-commerce Retailer
415139,Male,29,7.800000000000001,Build muscle,4,2950,780.92,Outerwear,Physical Retailer
271829,Male,25,5.8,Fat loss,1,1665,870.92,Performance,Brand Website
371836,Male,20,,General health,1,2340,391.63,Yoga,Physical Retailer
538974,Female,32,6.1,Build muscle,3,2770,714.1,Performance,Physical Retailer
302283,Male,23,5.2,General health,0,1886,627.54,Accessories,Physical Retailer
296769,Male,33,6,General health,3,2334,848.65,Yoga,Physical Retailer
661353,Male,25,6.6,Build muscle,4,2709,644.55,Performance,Brand Website
323165,Male,26,4.9,General health,1,1845,671.68,Outerwear,Physical Retailer
723587,Female,26,4.9,Flexibility,1,1966,654.78,Accessories,E-commerce Retailer
635822,Male,29,5.1,General health,4,2339,642.15,Performance,Physical Retailer
587879,Female,19,6.2,General health,1,1825,493.72,Accessories,Physical Retailer
664685,Male,27,4.4,Flexibility,1,1765,620.99,Yoga,Brand Website
882038,Female,32,4,Endurance training,1,2174,810.06,Performance,Physical Retailer
453531,Male,26,4.7,Build muscle,1,2503,952.69,Performance,Brand Website
363160,Male,33,,General health,1,2110,605.59,Performance,Physical Retailer
679879,Female,26,4.3,Endurance training,1,2321,599.68,Performance,Physical Retailer
320884,Other,27,6.1,Fat loss,1,1566,957.37,Footwear,E-commerce Retailer
123247,Female,32,5.5,Build muscle,1,2634,649.78,Performance,Brand Website
124300,Female,23,7.5,General health,4,1854,521.77,Footwear,Physical Retailer
567281,Female,40,3.7,Build muscle,1,2963,514.19,Yoga,Physical Retailer
707086,Male,35,5.5,Flexibility,4,2042,967.69,Leisure,Physical Retailer
633556,Other,20,7.2,Build muscle,3,2573,578.59,Leisure,E-commerce Retailer
448951,Male,20,,Build muscle,1,2518,777.48,Performance,Physical Retailer
374329,Female,36,6.9,Fat loss,1,1655,496.8,Footwear,Brand Website
819064,Female,29,6.6,Build muscle,4,2836,683.37,Accessories,Physical Retailer
842139,Female,18,5.7,Endurance training,1,2155,731.73,Performance,Physical Retailer
532315,Male,28,4.6,Flexibility,1,1646,671.81,Leisure,Brand Website
616588,Male,25,,General health,1,2284,731.45,Outerwear,Physical Retailer
336584,Female,25,6.6,Build muscle,4,2586,715.11,Performance,Physical Retailer
662332,Male,30,5.8999999999999995,Build muscle,1,2519,811.56,Accessories,Physical Retailer
937646,Other,30,5.3,General health,4,2068,894.74,Leisure,Brand Website
476896,Female,34,7,Flexibility,5,1832,662.56,Leisure,Physical Retailer
148984,Male,28,8.8,Fat loss,4,1542,706.6,Footwear,Physical Retailer
402918,Female,31,6.800000000000001,Fat loss,4,1894,879.57,Footwear,Physical Retailer
364712,Male,21,7.1,Build muscle,3,,981.81,Performance,E-commerce Retailer
220151,Female,24,7.9,General health,4,2200,491.71,Performance,Brand Website
555808,Female,23,5.9,Endurance training,3,2437,579.6,Performance,E-commerce Retailer
233767,Male,31,4.7,Build muscle,1,2805,842.47,Performance,Physical Retailer
748663,Male,30,6.2,Build muscle,3,2527,784.69,Outerwear,E-commerce Retailer
803550,Female,41,3.4,General health,1,2266,787.79,Leisure,Physical Retailer
236330,Male,21,5.8999999999999995,Build muscle,2,2759,875.16,Outerwear,Physical Retailer
580754,Female,26,5.1,Build muscle,1,2521,349.2,Leisure,E-commerce Retailer
401648,Male,31,8.3,Fat loss,5,1969,817.5,Footwear,E-commerce Retailer
788519,Male,19,7.4,Build muscle,2,2874,645.33,Performance,Physical Retailer
113986,Male,19,,Build muscle,1,2600,723.03,Accessories,Brand Website
686146,Male,34,5.5,General health,4,2350,1065.49,Footwear,Physical Retailer
229312,Male,21,5.3,General health,2,2152,936.49,Footwear,E-commerce Retailer
112666,Female,32,,General health,1,2099,726.24,Performance,Physical Retailer
400804,Male,34,5.3,General health,1,2481,853.46,Performance,Physical Retailer
234633,Male,22,10.3,Fat loss,5,1795,700.83,Performance,E-commerce Retailer
388998,Male,29,3.7,General health,1,2152,769.91,Footwear,E-commerce Retailer
950937,Male,29,6.1000000000000005,Build muscle,1,2895,788.31,Performance,Physical Retailer
728776,Male,25,4,Endurance training,2,2129,882.44,Performance,Physical Retailer
807611,Female,27,3.9,Flexibility,0,,394.67,Yoga,E-commerce Retailer
384806,Female,31,3.9000000000000004,Build muscle,0,2573,508.37,Performance,Physical Retailer
894824,Male,26,4.9,Build muscle,1,2841,587.09,,E-commerce Retailer
130535,Female,20,8.6,Fat loss,3,1964,522.3,Footwear,Physical Retailer
475713,Female,29,5.5,Build muscle,1,2589,556.8,Accessories,Physical Retailer
938688,Male,22,8.6,Build muscle,4,2566,892.83,Performance,Physical Retailer
451279,Female,30,5.2,General health,4,2254,565.76,Outerwear,Physical Retailer
