Customer ID,Gender,Age,Hours at Gym (per week),Fitness Goal,Gym Membership Length (years),Calorie Intake,Dietary Preferences,Average Spend per Meal Order,Preferred Sports Drink Type,Average Weekly Consumption (Bottles),Average Spend on Apparel ($/year),Type of Apparel Purchased,Primary Apparel Purchase Channel
221958,Female,27,7.3,Build muscle,4,,Whole foods,67.15,Electrolyte,10,643.34,Accessories,Brand Website
771155,Female,24,6.2,Endurance training,4,2173,Whole foods,52.94,Electrolyte,11,659.13,Leisure,Physical Retailer
231932,Male,22,7.4,Fat loss,2,1752,Whole foods,38.13,Electrolyte,12,761.12,Performance,Physical Retailer
465838,Female,23,6,Build muscle,0,2884,High protein,61.44,Protein shakes,10,234.87,Performance,E-commerce Retailer
359178,Female,18,9.3,Build muscle,5,2559,Whole foods,69.78,Protein shakes,14,539.69,Leisure,E-commerce Retailer
744167,Male,23,5.7,Flexibility,1,1606,Whole foods,44.64,Fresh juice,10,818.03,Outerwear,Physical Retailer
210268,Male,30,5.5,Build muscle,2,2719,Whole foods,62.43,Protein shakes,10,867.62,Performance,Brand Website
832180,Female,26,6.9,Fat loss,1,1940,High protein,36.91,,10,587.83,Accessories,Physical Retailer
154886,Male,32,7,Fat loss,4,,Vegan,33.42,Protein shakes,14,868.63,Accessories,E-commerce Retailer
237337,Male,24,,Build muscle,0,2870,Whole foods,69.31,Electrolyte,15,865.06,,Physical Retailer
621430,Female,31,5.4,Build muscle,1,,Vegan,50.5,Protein shakes,10,684.46,Performance,Brand Website
187498,Male,29,5.8,Build muscle,1,2551,Low carb,40.84,Protein shakes,8,895.53,Leisure,Brand Website
999159,Male,25,4.4,General health,1,2371,Whole foods,54.75,Protein shakes,8,699.35,Footwear,Physical Retailer
275203,Male,24,7.3,Fat loss,1,1533,Low carb,28.69,Fresh juice,14,635.62,Performance,Brand Website
291335,Female,26,,Endurance training,1,2095,Whole foods,48.53,Electrolyte,10,251.09,Performance,E-commerce Retailer
378167,Male,30,4.3,Flexibility,1,1588,Vegan,36.74,Fresh juice,8,865.03,,E-commerce Retailer
141090,Female,29,,General health,1,2030,Whole foods,49.91,Fresh juice,10,563.29,Footwear,Physical Retailer
429365,Male,28,6.7,Fat loss,3,1955,High protein,39.11,,9,547.7,Accessories,Physical Retailer
164820,Female,22,7,Fat loss,1,1774,Low carb,35.79,Fresh juice,11,303.55,Performance,Physical Retailer
887201,Male,22,6.5,Endurance training,5,2245,Whole foods,50.75,Fresh juice,19,584.06,Footwear,E-commerce Retailer
421879,Female,25,3.9,Endurance training,1,2110,Whole foods,51.12,Protein shakes,7,579.58,Performance,Physical Retailer
818315,Male,24,7.4,Fat loss,1,1733,Low carb,35.27,Fresh juice,12,835.77,Footwear,Physical Retailer
427069,Other,29,5.1,Endurance training,2,,Whole foods,47.8,Protein shakes,6,386.92,Leisure,Physical Retailer
876997,Female,21,8.6,Build muscle,4,2976,Whole foods,78.82,Protein shakes,12,442.38,Performance,Physical Retailer
299041,Male,26,5.6,Fat loss,1,1916,High protein,34.56,Electrolyte,9,595.3,Footwear,Physical Retailer
891743,Female,25,5.7,Build muscle,1,2665,High protein,52.98,Electrolyte,9,526.59,Accessories,Physical Retailer
203355,Male,44,7.3,Build muscle,5,2627,High protein,58.95,Protein shakes,9,758.55,Performance,Physical Retailer
335796,Male,31,5.7,Build muscle,0,2736,High protein,58.44,Electrolyte,11,865.06,Outerwear,Physical Retailer
314176,Male,23,5.9,Endurance training,1,2493,Whole foods,60.98,Electrolyte,10,832.35,Performance,Physical Retailer
284779,Male,19,8.7,Fat loss,4,1790,Whole foods,45.42,Fresh juice,14,747.12,Performance,Brand Website
447449,Male,29,6.2,Build muscle,3,2606,Whole foods,68.33,Electrolyte,13,733.86,Performance,Physical Retailer
521909,Male,21,6.2,Fat loss,0,1627,High protein,37.62,Electrolyte,11,632.53,Outerwear,Physical Retailer
358795,Female,20,7.8,Fat loss,4,1694,High protein,33.64,Protein shakes,11,280.48,Leisure,Physical Retailer
586232,Male,24,8.2,Build muscle,5,2838,Low carb,49.41,Protein shakes,15,868.88,Performance,E-commerce Retailer
600186,Male,25,3.6,Endurance training,1,2393,Whole foods,46.36,Energy drinks,12,937.67,Footwear,Brand Website
256730,Male,27,4.5,General health,1,2274,Low carb,41.89,Energy drinks,7,753.44,Yoga,Physical Retailer
970910,Male,34,5.9,General health,5,2454,Whole foods,59.52,Energy drinks,10,701.47,Outerwear,Brand Website
484681,Male,32,4.6,Endurance training,1,2394,Whole foods,63.23,Protein shakes,6,638.25,,Physical Retailer
249503,Female,28,6.4,Fat loss,1,1610,Low carb,33.48,Protein shakes,11,386.86,Yoga,Physical Retailer
754811,Male,27,7.2,Build muscle,4,2589,Whole foods,70.68,Protein shakes,15,644.03,Footwear,E-commerce Retailer
627035,Male,28,7.7,Build muscle,5,2750,High protein,52.17,Energy drinks,11,1077.3,Performance,Physical Retailer
748143,Male,30,5.3,Build muscle,1,2779,Whole foods,72.46,Protein shakes,11,603.85,Performance,Physical Retailer
552366,Male,31,5,Flexibility,4,1832,Vegan,37.08,Fresh juice,11,841.05,Performance,E-commerce Retailer
165725,Female,22,8.6,Build muscle,5,2723,High protein,59.78,Electrolyte,10,660.46,Performance,E-commerce Retailer
229981,Male,24,7.1,Build muscle,4,2600,Whole foods,56.89,Protein shakes,11,889.86,Outerwear,E-commerce Retailer
184654,Female,21,,General health,3,1931,Whole foods,49.18,Electrolyte,10,519.18,Leisure,E-commerce Retailer
691723,Other,40,5.8,Flexibility,4,1512,Whole foods,28.74,Fresh juice,9,738.65,Yoga,E-commerce Retailer
419030,Male,37,6.4,General health,4,2256,Vegan,47.78,Fresh juice,10,592.73,,Physical Retailer
428947,Female,27,5.5,Build muscle,3,2940,High protein,59.52,Protein shakes,8,573.78,Performance,Brand Website
655839,Male,29,5.1,Build muscle,0,2996,High protein,55.4,Protein shakes,12,1025.92,Outerwear,Brand Website
373538,Female,33,6.2,Build muscle,5,2597,,46.45,Protein shakes,12,739.45,,E-commerce Retailer
431236,Male,20,6.8,Build muscle,1,2619,Vegan,60.74,Protein shakes,11,629.14,Performance,E-commerce Retailer
628178,Female,27,6.4,Build muscle,4,2792,High protein,54.86,Protein shakes,12,368.69,Outerwear,Brand Website
