Customer ID,Gender,Age,Hours at Gym (per week),Fitness Goal,Gym Membership Length (years),Calorie Intake,Dietary Preferences,Average Spend per Meal Order,Preferred Sports Drink Type,Average Weekly Consumption (Bottles),Average Spend on Apparel ($/year),Type of Apparel Purchased,Primary Apparel Purchase Channel
771155,Female,24,6.2,Endurance training,4,2173.0,Whole foods,52.94,Electrolyte,11,659.13,Leisure,Physical Retailer
231932,Male,22,7.4,Fat loss,2,1752.0,Whole foods,38.13,Electrolyte,12,761.12,Performance,Physical Retailer
465838,Female,23,6.0,Build muscle,0,2884.0,High protein,61.44,Protein shakes,10,234.87,Performance,E-commerce Retailer
359178,Female,18,9.3,Build muscle,5,2559.0,Whole foods,69.78,Protein shakes,14,539.69,Leisure,E-commerce Retailer
744167,Male,23,5.7,Flexibility,1,1606.0,Whole foods,44.64,Fresh juice,10,818.03,Outerwear,Physical Retailer
210268,Male,30,5.5,Build muscle,2,2719.0,Whole foods,62.43,Protein shakes,10,867.62,Performance,Brand Website
187498,Male,29,5.8,Build muscle,1,2551.0,Low carb,40.84,Protein shakes,8,895.53,Leisure,Brand Website
999159,Male,25,4.4,General health,1,2371.0,Whole foods,54.75,Protein shakes,8,699.35,Footwear,Physical Retailer
275203,Male,24,7.3,Fat loss,1,1533.0,Low carb,28.69,Fresh juice,14,635.62,Performance,Brand Website
164820,Female,22,7.0,Fat loss,1,1774.0,Low carb,35.79,Fresh juice,11,303.55,Performance,Physical Retailer
887201,Male,22,6.5,Endurance training,5,2245.0,Whole foods,50.75,Fresh juice,19,584.06,Footwear,E-commerce Retailer
421879,Female,25,3.9,Endurance training,1,2110.0,Whole foods,51.12,Protein shakes,7,579.58,Performance,Physical Retailer
818315,Male,24,7.4,Fat loss,1,1733.0,Low carb,35.27,Fresh juice,12,835.77,Footwear,Physical Retailer
876997,Female,21,8.6,Build muscle,4,2976.0,Whole foods,78.82,Protein shakes,12,442.38,Performance,Physical Retailer
